ad_id,date_published,typology,asking_price_sek,land_area_sqm,living_area_sqm,sqm_price_sek,number_rooms,address,location,coordenates
21461239,2024-12-27,TWIN_HOUSE,4400000.0,288.0,148.0,15277.78,5.0,Tegelbruksgatan 55,"Tegelbruket, Alingsås kommun","57.9422455,12.5078707"
21461290,2024-12-27,HOUSE,2200000.0,1408.0,180.0,1562.5,6.0,Boråsvägen 8,"Dalsjöfors, Borås kommun","57.7304581254,13.1013783028"
21461488,2024-12-27,HOUSE,3495000.0,633.0,162.0,5521.33,4.0,Krabbegatan 8,"Simrishamn - Centralt, Simrishamns kommun","55.5583572,14.3413115"
21461431,2024-12-27,PLOT,2250000.0,852.0,0.0,2640.845070422535,0.0,Varbergsvägen 210,"Hammerö, Kungsbacka kommun","57.4698524,12.0973549"
21461432,2024-12-27,APARTMENT,1990000.0,0.0,39.0,51026.0,1.0,Frödingsgatan 8E,"Strömmensberg, Göteborgs kommun","57.7221832,12.0199127"
20377895,2024-12-27,APARTMENT,1695000.0,0.0,57.5,29478.0,2.0,Åttingsstigen 30D,"Centrala Halmstad - Öster, Halmstads kommun","56.6610756,12.8904591"
21461501,2024-12-27,APARTMENT,5995000.0,0.0,55.0,109000.0,2.0,Fridhemsgatan 12A,"Kungsholmen/ Nedre Kungsholmen, Stockholms kommun","59.33069,18.02773"
21461204,2024-12-27,APARTMENT,695000.0,0.0,69.0,10072.0,2.0,Viksgatan 13 A,"Centralt, Arvika kommun","59.654922,12.600748"
21461424,2024-12-27,HOUSE,6595000.0,792.0,222.0,8327.02,5.0,Norra Karlsgrundsgatan 5,"Romstad, Karlstads kommun","59.378006,13.472765"
21431412,2024-12-27,APARTMENT,2795000.0,0.0,52.0,53750.0,2.0,"Tollareslingan 18, 9 tr","Nacka - Tollare, Nacka kommun","59.30071722399967,18.236191261976387"
21461453,2024-12-27,APARTMENT,1395000.0,0.0,54.0,25833.0,2.0,Sofierogatan 1,"Ellstorp, Malmö kommun","55.604431,13.0314169"
21461343,2024-12-27,APARTMENT,9895000.0,0.0,83.0,135548.0,2.0,Tomtebogatan 32,"Vasastan, Stockholms kommun","59.3418541,18.0295448"
